episode,Episode_reward
0,-10.005271542771625
1,-4.070138889761247
2,-1.6530984991176594
3,-0.6760265249135976
4,-0.2873766559687468
5,-0.11304914994803347
6,-0.04543480795475546
7,-0.02307251457015278
8,-0.01876533642517167
9,-0.008339266826904206
10,-0.0065792294348349005
11,-0.005538832468443148
12,-0.002208285762856362
13,-0.003992473593330765
14,-0.0015666082130000145
15,-0.005176656784781672
16,-0.010107071707946745
17,-0.004327037023381702
18,-0.010867260923740369
19,-0.00813806917783476
20,-0.0025331602699580564
21,-0.001505537877394019
22,-0.0006801076441405968
23,-0.0013073276193731364
24,-0.005351918460323252
25,-0.007309807146773302
26,-0.008715952693378295
27,-0.0035371274902982024
28,-0.003327254680556567
29,-0.0043386173728279
30,-0.0003745617940873835
31,-0.013458193597811259
32,-0.005754569659459947
33,-0.0011793264049111006
34,-0.005172174665807537
35,-0.009817816788262346
36,-0.005276268145672636
37,-0.0017542648525792324
38,-0.005491382848847195
39,-0.0007713677132013591
40,-0.006530727405662216
41,-0.00423199566356666
42,-0.004735757995603338
43,-0.008589362845808895
44,-0.0011107968017791462
45,-0.0014176833746915932
46,-0.0024742973704597894
47,-0.0038593482967234794
48,-0.00799258093643273
49,-0.007492670417373595
50,-0.000912610322398045
51,-0.004245099246769581
52,-0.003354043341757329
53,-0.0050888930730652645
54,-0.0031350346697399363
55,-0.013319087057300888
56,-0.0076931225727622276
57,-0.004862108567154913
58,-0.0011104856061015015
59,-0.005114724908593025
60,-0.0022403651745851066
61,-0.004900273970047213
62,-0.0022896410339298162
63,-0.004779278819262326
64,-0.011975223789879167
65,-0.011178378829178878
66,-0.005664214296622803
67,-0.004738032290883058
68,-0.00605952635820378
69,-0.005554113219011295
70,-0.0034485163730630943
71,-0.0015867373865201355
72,-0.005066361258444682
73,-0.0006764214773022056
74,-0.009908036901518456
75,-0.001477064936344912
76,-0.008553797334917988
77,-0.005034835400495883
78,-0.009377816546951589
79,-0.004125336555166575
80,-0.0002577348337140646
81,-0.009179258347964384
82,-5.7652362840910776e-05
83,-0.007515946610931285
84,-0.009467049445701623
85,-0.009526794739465449
86,-0.003981029973660737
87,-0.00092790959042813
88,-0.00605952635820378
89,-0.00913745053069286
90,-0.004904417546536364
91,-0.004232629381484053
92,-0.0025153725044236627
93,-0.0019591845656104045
94,-0.0012293210312315605
95,-0.00033185765553802487
96,-0.006871641649026934
97,-0.0031141275046396577
98,-0.008613719706988121
99,-0.0007189999904267695
100,-0.0039657486410317345
101,-0.007524549248412659
102,-0.007640271780988211
103,-0.0018962957760505419
104,-0.0027065407443642607
105,-0.00024171275656950956
106,-0.002943372130785442
107,-0.007294366869752826
108,-0.01131296928312946
109,-0.004276438468392947
110,-0.003828760726164765
111,-0.011856274521251932
112,-0.008876808197661736
113,-0.003639575294683337
114,-0.009015279570347064
115,-0.00445483331265248
116,-0.006011049269706416
117,-0.004117660231121133
118,-0.005682621831107468
119,-0.006458475144809997
120,-0.004927441485376693
121,-0.005354413937207194
122,-0.01201524854081207
123,-0.010868151167186759
124,-0.003848634509666455
125,-0.008905975715465324
126,-0.003084771470031591
127,-0.006884055714629665
128,-0.004137092735825096
129,-0.0044343943408469205
130,-0.0031856404948579545
131,-0.0037609828773086927
132,-0.008654544046562783
133,-0.004317499120280492
134,-0.004965459902163025
135,-0.002638130403508447
136,-0.0049211459464863095
137,-0.008717681063017551
138,-0.003707553482671611
139,-0.0028737936632012525
140,-0.002647683051950551
141,-0.003020789772318428
142,-0.004701248462201815
143,-0.0033902069450557947
144,-0.009670970114156671
145,-0.00529076121456254
146,-0.00593876327337314
147,-0.0039626058381647
148,-0.004576205403103417
149,-0.0029004102355349426
150,-0.004189141950593841
151,-0.01085789777456746
152,-0.0043846818977801945
153,-0.00381814473752937
154,-0.0007582098001194016
155,-0.004911599836599518
156,-0.007938357226770758
157,-0.0069393605831384614
158,-0.006301640346558416
159,-0.008379739634954564
160,-0.00732925757475566
161,-0.0036866282452332035
162,-0.006783283651830838
163,-0.005817187309629907
164,-0.003513169906321511
165,-0.004419605405678378
166,-0.01162522751498955
167,-0.004383256571285557
168,-0.008012689199145518
169,-0.007250337625594782
170,-0.010577718525572844
171,-0.007757708992310652
172,-0.007678689367655554
173,-0.0026762064345460215
174,-0.0015372903872644557
175,-0.006645719032155941
176,-0.008415563810237352
177,-0.0027366440680782833
178,-0.004250657148721528
179,-0.0035488666199989054
180,-0.012461640880141175
181,-0.0035190881766022373
182,-0.00594071511932153
183,-0.011496269355080187
184,-0.005036144682651387
185,-0.008532061210311855
186,-0.003730163278529053
187,-0.010678954183153445
188,-0.008503176764160264
189,-0.005026402303317392
190,-0.0036867278714485417
191,-0.007160762278767839
192,-0.005119390703577453
193,-0.006826791925247116
194,-0.0010367299230468056
195,-0.00039459274431465665
196,-0.0020480072578684515
197,-0.0012740823691563719
198,-0.00506467899108687
199,-0.002880796978536207
