episode,Episode_reward
0,-987.9044406154703
1,-1102.5168113602476
2,-972.513457420176
3,-1543.102938396071
4,-1283.1073322956297
5,-1043.3378289186833
6,-1221.6867330823918
7,-1211.0460458969408
8,-1272.397162820031
9,-1094.505375186162
10,-1448.1923748396157
11,-1298.9652005166417
12,-1066.1066768711812
13,-1007.0707387377121
14,-1674.810817170652
15,-902.6855340668593
16,-1336.4782726937397
17,-1179.1223186023462
18,-1383.1435504717494
19,-1287.3389275668299
20,-1228.262375596449
21,-1235.1814453995016
22,-1307.2431802786177
23,-1616.786428952375
24,-1017.0606903401115
25,-1048.4376085665963
26,-1351.3257260249168
27,-1376.1645525728916
28,-1173.836428605848
29,-1466.1543145361145
30,-1076.2277969505762
31,-1119.5246477041253
32,-1522.6914225450855
33,-1250.253145905136
34,-1182.555839018521
35,-1269.74058334468
36,-1462.4372719495339
37,-1032.024519270276
38,-1288.8871458047124
39,-1328.3804939464296
40,-1358.4418295230253
41,-1168.804343236767
42,-1041.9326837432038
43,-1174.6233569871968
44,-1135.2332150605912
45,-1202.4927974409877
46,-1211.9477045003885
47,-1219.8990080492679
48,-1070.101839201057
49,-905.3920413894261
50,-1186.7449159860219
51,-1033.9185330256746
52,-1409.8519322356995
53,-906.1938268828765
54,-1273.5136198686437
55,-1407.8894135355388
56,-1047.0805755203328
57,-1351.6332652084734
58,-1434.5964708225076
59,-1039.4272605548474
60,-1018.1460598434767
61,-1363.6365667763948
62,-1241.3415668441562
63,-1346.162272812997
64,-1119.0129135919428
65,-1373.8512554288002
66,-1505.0674011606736
67,-1150.681295229311
68,-1286.2615309760426
69,-1332.4232270711348
70,-1099.6432493150235
71,-1343.1050338644716
72,-1214.2005898681175
73,-1336.541667446751
74,-1051.6729931046457
75,-1262.7979038254725
76,-1215.4233306508559
77,-1187.8785860677467
78,-1236.0359262531526
79,-1253.0181949441555
80,-992.5962468199048
81,-1085.232432406904
82,-1341.2218828346413
83,-1202.2969737937724
84,-886.6333876078781
85,-1134.9357095758326
86,-814.6641975762401
87,-779.5606961437868
88,-865.493856815964
89,-890.5034461199156
90,-1024.5555959389562
91,-898.9216546982573
92,-630.4150414535983
93,-1182.9284003629243
94,-1143.841731877287
95,-1067.412301353937
96,-1118.405767210295
97,-761.4184886680838
98,-1150.5182931657382
99,-757.717794848577
100,-1203.2057544368256
101,-688.4880471818768
102,-821.1864640672824
103,-999.2862455478054
104,-636.6929375984586
105,-755.6780949030343
106,-768.5749864210255
107,-1105.8796524710071
108,-868.2314357574038
109,-1062.862190549189
110,-920.5705970758639
111,-915.1154973554504
112,-643.9518459196951
113,-1111.8661416957725
114,-789.1831696614865
115,-895.627992989427
116,-1082.7236577601286
117,-789.9222222334536
118,-1131.7063017057867
119,-532.390091939516
120,-432.4608042109665
121,-649.9682204802805
122,-653.1610726341368
123,-978.4221258678527
124,-777.4685426821358
125,-987.2312184843224
126,-806.1040499796032
127,-529.8292578078652
128,-1206.305863969573
129,-797.3048747948769
130,-803.2410125912467
131,-943.1077386090523
132,-762.5952950234013
133,-372.44617642323635
134,-402.9257864210531
135,-964.3916169893766
136,-654.7645288062425
137,-530.129972681785
138,-1032.0837883488994
139,-788.8198817837598
140,-217.33032541701746
141,-393.546408911168
142,-526.0710798892967
143,-262.0884079742041
144,-944.9106666995266
145,-603.443630762991
146,-801.9575015068785
147,-654.5502324524275
148,-642.1338756128603
149,-997.5742878141136
150,-648.2884040701732
151,-705.9028698508542
152,-2.824265248783055
153,-862.3604898561845
154,-133.33340431975455
155,-1.5172094768546192
156,-385.46370329395353
157,-386.9290635080671
158,-533.9611654571073
159,-665.498107683831
160,-132.47804357603292
161,-911.312342243884
162,-131.37282500452267
163,-265.39908402002203
164,-1025.8500442749994
165,-134.72509048114043
166,-128.86272112293557
167,-265.1911055398363
168,-257.29501538648725
169,-942.0066663305613
170,-253.73130211475296
171,-1105.2293122975877
172,-542.6146198127153
173,-658.5718048786782
174,-264.9508428349072
175,-0.5453049641710587
176,-264.28778091979046
177,-415.6235614165347
178,-930.0492040708438
179,-849.0713074504097
180,-131.21844558804412
181,-263.59348706389
182,-1.3433137351117173
183,-395.78548425245333
184,-526.357645420047
185,-555.2362090131152
186,-130.19197108340651
187,-393.5568732921095
188,-421.9558637303078
189,-564.0385759204416
190,-0.6809940670686192
191,-261.01288677779604
192,-131.23719084519067
193,-127.87752761867235
194,-398.8878053855504
195,-1054.9900542174182
196,-405.9003834391184
197,-252.50764636343098
198,-133.33059102461772
199,-443.12894661913697
200,-272.8332497227368
201,-271.474993351437
202,-263.93378958998676
203,-269.274944223128
204,-917.6760060524649
205,-130.69376804144198
206,-260.2660210467801
207,-0.6281398044185041
208,-399.6822173056587
209,-127.78047400929569
210,-129.41589657644505
211,-132.51187279773526
212,-390.3372751360699
213,-533.045509340025
214,-131.71545594908767
215,-0.1868063706643882
216,-393.91633065583954
217,-2.738202736684955
218,-264.41382045088085
219,-128.5376706423419
220,-278.4504343363168
221,-1.9749554849082347
222,-136.11458934039072
223,-392.2668072790252
224,-258.3497176553189
225,-796.7561228698481
226,-790.3085166071639
227,-394.06428949729525
228,-131.49322270263713
229,-531.773684328669
230,-133.56692038685475
231,-128.70883503615562
232,-132.08062174465658
233,-513.2817879164522
234,-437.83475056221533
235,-124.40920340673841
236,-131.4216881830116
237,-709.2710221999993
238,-131.08014101045978
239,-395.1473668424883
240,-668.2028963448026
241,-259.2024890971276
242,-0.4394507979550783
243,-1044.0039433248903
244,-528.6568430084204
245,-4.290405757955163
246,-395.89778055829436
247,-562.6241544980888
248,-521.8001678244862
249,-127.67249056042193
250,-390.7436550742952
251,-269.1625252760064
252,-0.40265732544355753
253,-128.31657781300802
254,-382.7464540868007
255,-386.8007512366396
256,-131.18283789774873
257,-257.51360133085046
258,-130.16472678276332
259,-0.8231063346737637
260,-0.9478334734876956
261,-263.92219218198846
262,-273.1477480400312
263,-253.69308917499575
264,-134.9714974480562
265,-289.8184586879495
266,-132.8185153789241
267,-129.3459013554439
268,-424.46068976738314
269,-1212.7442008047524
270,-262.44555415225557
271,-133.39459242733554
272,-1309.5415887624129
273,-1198.1969490840472
274,-802.6185982926963
275,-452.68553739584047
276,-421.7283651841041
277,-262.44258663809904
278,-133.38986318898895
279,-657.3818928912829
280,-255.7680793874998
281,-130.53400260036778
282,-3.7199539890357904
283,-263.3998749441555
284,-3.5933741174484566
285,-135.41233846871805
286,-524.548470775575
287,-445.4518203246621
288,-130.13656360604494
289,-132.72844775232252
290,-265.52943428543955
291,-415.0910347660643
292,-129.32663810362467
293,-261.7538186976883
294,-132.43644407458046
295,-269.3016120186391
296,-286.4603126581715
297,-128.69085857182597
298,-0.4904340548988882
299,-266.1718956791771
300,-483.6547328460342
301,-0.19781476581526913
302,-1188.0849722005041
303,-134.25598963266867
304,-519.4602359191344
305,-129.40049868027145
306,-264.4776312653034
307,-266.57300819714686
308,-272.9511936563133
309,-2.1141317212194064
310,-259.63690365087535
311,-259.30478192773387
312,-0.4696986548223221
313,-386.32250584752643
314,-515.9325839528815
315,-264.2071033504511
316,-127.74064364959648
317,-407.1297192251305
318,-265.1897523528573
319,-128.9710344363397
320,-426.17362487278547
321,-128.69852376245322
322,-129.55506062659262
323,-527.0826603048567
324,-1.3077766242512074
325,-267.54526946384607
326,-135.58107760184419
327,-127.91288534888656
328,-0.51721552506743
329,-130.64553723790323
330,-261.91808979410916
331,-129.99787933709433
332,-130.97623250928268
333,-289.20364951924
334,-831.2412460677601
335,-904.9360917626882
336,-128.34519604283727
337,-442.6564736541546
338,-1135.2357292817103
339,-138.0302118122303
340,-132.86569365564395
341,-627.5316829362422
342,-264.1986874026155
343,-263.6913597515067
344,-268.34961104194764
345,-402.2821304734403
346,-695.9847048321496
347,-272.36136133867547
348,-533.3655401889871
349,-0.42184922710952777
350,-393.8207130755958
351,-127.53653429710832
352,-388.2192229567232
353,-266.3067866493346
354,-413.71887591154837
355,-574.1352871683539
356,-0.431754834722283
357,-395.93090447905644
358,-1.2732723545471052
359,-0.09556942193555307
360,-518.6692303867615
361,-0.8861250052109186
362,-425.75920015014447
363,-137.42364256234052
364,-126.44753813738456
365,-267.280051971072
366,-130.2871651618767
367,-129.71545494355095
368,-265.67220527718735
369,-412.9258672157691
370,-131.2668350662094
371,-132.8312766445459
372,-132.78514322066795
373,-404.5759838644078
374,-129.02632167290668
375,-266.23799319565205
376,-273.25185426737335
377,-130.74481173330804
378,-427.13550777397154
379,-413.11185710858035
380,-131.53456893714164
381,-134.10663364860665
382,-388.7691857394981
383,-274.6032057323409
384,-258.438466096188
385,-131.8045815144703
386,-546.7659995441327
387,-401.49998593414045
388,-286.7586909650511
389,-135.80422079297915
390,-130.65524049504668
391,-447.795649665462
392,-401.0445345608641
393,-0.11901280395167707
394,-263.12217418468776
395,-436.75457830423335
396,-403.1871316443861
397,-287.4095588939703
398,-422.33816946029674
399,-140.25045965290747
400,-1.2176807487598824
401,-270.7022118964003
402,-0.7049789962280691
403,-133.2592371139649
404,-273.5403506748233
405,-385.70830093790096
406,-271.90302779298923
407,-0.07178642172819377
408,-1.210599196344758
409,-428.3893312239827
410,-262.92502481340597
411,-129.69859291379754
412,-128.86406874059563
413,-261.25380342974586
414,-272.63127364808275
415,-276.93921311999856
